,subj_key_resp,subj_key_resp_last,rxn_time,corr_resp,corr_resp_left,running_time,hit,miss,wrong,total_hits,total_wrong,total_skipped,percent_accuracy,avg_rxn_time
102,"[('1', 0.7777684000320733)]",1,0.7777684000320733,1,6,442.22356680000667,1,0,0,103,0,0,100.0,1.1209471728053686
103,"[('2', 1.3609269000589848)]",2,1.3609269000589848,2,7,,1,0,0,104,0,0,100.0,1.1232546701828072
104,"[('2', 1.2488644999684766)]",2,1.2488644999684766,2,7,,1,0,0,105,0,0,100.0,1.124450954276004
105,"[('1', 1.2276982000330463)]",1,1.2276982000330463,1,6,,1,0,0,106,0,0,100.0,1.1254249848963536
106,"[('2', 1.244228700059466)]",2,1.244228700059466,2,7,,1,0,0,107,0,0,100.0,1.1265352999913358
107,"[('1', 1.0410395000362769)]",1,1.0410395000362769,1,6,,1,0,0,108,0,0,100.0,1.1257436722139742
108,"[('2', 1.1471552000148222)]",2,1.1471552000148222,2,7,460.2738304999657,1,0,0,109,0,0,100.0,1.1259401082488443
109,"[('2', 1.1462508999975398)]",2,1.1462508999975398,2,7,,1,0,0,110,0,0,100.0,1.126124751810196
110,"[('1', 1.4657138000475243)]",1,1.4657138000475243,1,6,,1,0,0,111,0,0,100.0,1.129184112605127
111,"[('2', 1.382118400069885)]",2,1.382118400069885,2,7,,1,0,0,112,0,0,100.0,1.1314424544574908
112,"[('1', 1.1941612999653444)]",1,1.1941612999653444,1,6,,1,0,0,113,0,0,100.0,1.1319974884885338
113,"[('1', 1.3277322999201715)]",1,1.3277322999201715,1,6,,1,0,0,114,0,0,100.0,1.133714460518636
114,"[('2', 0.8509949999861419)]",2,0.8509949999861419,2,7,478.33697039994877,1,0,0,115,0,0,100.0,1.1312560304270491
115,"[('1', 1.0778368000173941)]",1,1.0778368000173941,1,6,,1,0,0,116,0,0,100.0,1.1307955198200692
116,"[('1', 1.2629289999604225)]",1,1.2629289999604225,1,6,,1,0,0,117,0,0,100.0,1.1319248658041747
117,"[('2', 1.6469305000500754)]",2,1.6469305000500754,2,7,,1,0,0,118,0,0,100.0,1.1362893203316824
118,"[('1', 1.1088391999946907)]",1,1.1088391999946907,1,6,,1,0,0,119,0,0,100.0,1.1360586470515397
119,"[('2', 0.5275296999607235)]",2,0.5275296999607235,2,7,,1,0,0,120,0,0,100.0,1.1309875724924496
120,"[('2', 0.843827800010331)]",2,0.843827800010331,2,7,496.3853982000146,1,0,0,121,0,0,100.0,1.1286143512322668
121,"[('2', 0.6106522999471053)]",2,0.6106522999471053,2,7,,1,0,0,122,0,0,100.0,1.1243687606479622
122,"[('1', 0.6758537000278011)]",1,0.6758537000278011,1,6,,1,0,0,123,0,0,100.0,1.120722296740481
123,"[('2', 0.6271424998994917)]",2,0.6271424998994917,2,7,,1,0,0,124,0,0,100.0,1.1167418145078924
124,"[('1', 0.6438386000227183)]",1,0.6438386000227183,1,6,,1,0,0,125,0,0,100.0,1.112958588792011
125,"[('1', 0.8269031000090763)]",1,0.8269031000090763,1,6,,1,0,0,126,0,0,100.0,1.1106883071350038
126,"[('2', 0.7494517000159249)]",2,0.7494517000159249,2,7,514.4171802999917,1,0,0,127,0,0,100.0,1.1078439244017826
127,"[('1', 0.5449824999086559)]",1,0.5449824999086559,1,6,,1,0,0,128,0,0,100.0,1.10344656952293
128,"[('1', 0.8824402999598533)]",1,0.8824402999598533,1,6,,1,0,0,129,0,0,100.0,1.1017333426270923
129,"[('1', 0.8459489999804646)]",1,0.8459489999804646,2,7,,0,0,1,129,1,0,99.23076923076923,1.0997657707605797
130,"[('1', 0.9435909000458196)]",1,0.9435909000458196,1,6,,1,0,0,130,1,0,99.23664122137404,1.098573596174971
131,"[('2', 0.7652801999356598)]",2,0.7652801999356598,2,7,,1,0,0,131,1,0,99.24242424242425,1.0960486462034609
132,"[('2', 0.7632643000688404)]",2,0.7632643000688404,2,7,549.4616845999844,1,0,0,132,1,0,99.24812030075188,1.0935465082625992
