,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
148,,,,0.0,0.0,,0,1,0,0,34,93,2,6,94.07407407407408,85.0,1.4814814814814814,1.4977717888864897
149,,,,0.0,0.0,,0,1,0,0,34,94,2,6,94.11764705882354,85.0,1.4705882352941178,1.4977717888864897
150,,,,0.0,0.0,,0,1,0,0,34,95,2,6,94.16058394160584,85.0,1.4598540145985401,1.4977717888864897
151,"[('1', 0.47014190000481904)]",1,0.47014190000481904,1.0,7.0,,1,0,0,0,35,95,2,6,94.20289855072464,85.36585365853658,1.4492753623188406,1.4699980081059039
152,,,,0.0,0.0,,0,1,0,0,35,96,2,6,94.24460431654676,85.36585365853658,1.4388489208633093,1.4699980081059039
153,"[('1', 0.5563488000771031)]",1,0.5563488000771031,1.0,7.0,,1,0,0,0,36,96,2,6,94.28571428571429,85.71428571428571,1.4285714285714286,1.4459546078946197
154,,,,,,698.9176645000698,0,0,0,0,36,96,2,6,94.28571428571429,85.71428571428571,1.4285714285714286,1.4459546078946197
155,,,,0.0,0.0,,0,1,0,0,36,97,2,6,94.32624113475177,85.71428571428571,1.4184397163120568,1.4459546078946197
156,,,,0.0,0.0,,0,1,0,0,36,98,2,6,94.36619718309859,85.71428571428571,1.408450704225352,1.4459546078946197
157,"[('1', 0.5054704999784008)]",1,0.5054704999784008,1.0,7.0,,1,0,0,0,37,98,2,6,94.4055944055944,86.04651162790698,1.3986013986013985,1.4218396307685628
158,,,,0.0,0.0,,0,1,0,0,37,99,2,6,94.44444444444444,86.04651162790698,1.3888888888888888,1.4218396307685628
159,,,,0.0,0.0,,0,1,0,0,37,100,2,6,94.48275862068965,86.04651162790698,1.3793103448275863,1.4218396307685628
